,sentence,NER,prediction,correct
0,"I have chicken breast, parmesan cheese, and black beans","['chicken breast', 'parmesan cheese', 'black beans']","['chicken breast', 'parmesan cheese', 'black beans']",True
1,"I have cheddar cheese and some chicken, tomatoes, tortilla chips, carrots, green beans, avocado","['cheddar cheese', 'chicken', 'tomatoes', 'tortilla chips', 'carrots', 'green beans', 'avocado']","['cheddar cheese', 'some chicken', 'tomatoes', 'tortilla chips', 'carrots', 'green beans', 'avocado']",False
2,"I got noodles, red pepper flakes, bell pepper, corn, tomato, potato, garlic, eggs, and zucchini","['noodles', 'red pepper flakes', 'bell pepper', 'corn', 'tomato', 'potato', 'garlic', 'eggs', 'zucchini']","['noodles', 'red pepper flakes', 'bell pepper', 'corn', 'tomato', 'potato', 'garlic', 'eggs', 'and zucchini']",False
3,"I have noodles, soy sauce, oyster sauce, brown rice, corn, chicken, garlic, eggs, onion, scallions, and ginger","['noodles', 'soy sauce', 'oyster sauce', 'brown rice', 'corn', 'chicken', 'garlic', 'eggs', 'onion', 'scallions', 'ginger']","['noodles', 'soy sauce', 'oyster sauce', 'brown rice', 'corn', 'chicken', 'garlic', 'eggs', 'onion', 'scallions', 'and ginger']",False
4,"I have tomato, chicken, red wine, swiss cheese, garlic, bread, potatoes, shrimp, and olive oil","['tomato', 'chicken', 'red wine', 'swiss cheese', 'garlic', 'bread', 'potatoes', 'shrimp', 'olive oil']","['tomato', 'chicken', 'red wine', 'swiss cheese', 'garlic', 'bread', 'potatoes', 'shrimp', 'and olive oil']",False
5,"There are crisp green apples, juicy oranges, crunchy carrots, a carton of eggs, a block of cheddar cheese, a jar of pickles, and a loaf of bread","['green apples', 'oranges', 'carrots', 'eggs', 'cheddar cheese', 'pickles', 'bread']","['There are crisp green apples', 'juicy oranges', 'crunchy carrots', 'a carton of eggs', 'a block of cheddar cheese', 'a jar of pickles', 'and a loaf of bread']",False
6,"In this fridge, there are packs of ramen noodles, eggs, bread, sliced cheese, a jar of pickles, a carton of milk.","['ramen noodles', 'eggs', 'bread', 'sliced cheese', 'pickles', 'milk']","['this fridge', 'there are', 'packs of ramen noodles', 'eggs', 'bread', 'sliced cheese', 'a jar of pickles', 'a carton of milk.']",False
7,"In this fridge, there are frozen vegetables, pre-cooked chicken, Greek yogurt, baby carrots, a block of cheddar cheese, a jar of hummus, and some fresh berries.","['frozen vegetables', 'pre-cooked chicken', 'Greek yogurt', 'baby carrots', 'cheddar cheese', 'hummus', 'fresh berries']","['this fridge', 'there are', 'frozen vegetables', 'pre-cooked chicken', 'Greek yogurt', 'baby carrots', 'a block of cheddar cheese', 'a jar of hummus', 'some fresh berries.']",False
8,"In this fridge, there are containers of pre-cut vegetables, some grilled chicken breast, eggs, Greek yogurt, a carton of almond milk, a block of cheese, and some hummus.","['pre-cut vegetables', 'grilled chicken breast', 'eggs', 'Greek yogurt', 'almond milk', 'cheese', 'hummus']","['this fridge', 'there are', 'containers of pre-cut vegetables', 'some grilled', 'chicken breast', 'eggs', 'Greek yogurt', 'a carton of almond milk', 'a block of cheese', 'some hummus.']",False
9,"there are fresh vegetables such as kale, spinach, and carrots, as well as fruits like blueberries, apples, and bananas. There is also a carton of almond milk, a block of tofu, some quinoa, and a container of Greek yogurt.","['kale', 'spinach', 'carrots', 'blueberries', 'apples', 'bananas', 'almond milk', 'tofu', 'quinoa', 'Greek yogurt']","['there are', 'fresh vegetables such', 'kale', 'spinach', 'and carrots', 'fruits like blueberries', 'apples', 'bananas. There is', 'a carton of almond milk', 'a block of tofu', 'some quinoa', 'and a container of Greek yogurt.']",False
